When,X,Y,Type
1112756785319063,1661.0,527.0,MOVE
1112756793078091,1664.0,515.0,MOVE
1112756801634032,1665.0,501.0,MOVE
1112756811229581,1665.0,475.0,MOVE
1112756818173585,1664.0,466.0,MOVE
1112756825261275,1660.0,448.0,MOVE
1112756833688623,1657.0,433.0,MOVE
1112756840129727,1651.0,418.0,MOVE
1112756848563112,1644.0,404.0,MOVE
1112756856459185,1639.0,394.0,MOVE
1112756864483851,1629.0,381.0,MOVE
1112756872664277,1618.0,369.0,MOVE
1112756880364140,1607.0,358.0,MOVE
1112756890029721,1590.0,343.0,MOVE
1112756897206761,1583.0,336.0,MOVE
1112756904500924,1571.0,328.0,MOVE
1112756911991296,1559.0,321.0,MOVE
1112756919135736,1546.0,315.0,MOVE
1112756926963588,1532.0,308.0,MOVE
1112756934987047,1515.0,299.0,MOVE
1112756942924776,1505.0,296.0,MOVE
1112756950991703,1494.0,291.0,MOVE
1112756958953581,1480.0,287.0,MOVE
1112756968964490,1461.0,283.0,MOVE
1112756976556288,1452.0,282.0,MOVE
1112756983436298,1442.0,281.0,MOVE
1112756991036547,1429.0,279.0,MOVE
1112756998516656,1417.0,279.0,MOVE
1112757006773151,1404.0,279.0,MOVE
1112757014127082,1392.0,279.0,MOVE
1112757022693889,1376.0,280.0,MOVE
1112757030274216,1362.0,281.0,MOVE
1112757038246962,1347.0,283.0,MOVE
1112757047931257,1323.0,287.0,MOVE
1112757055453023,1310.0,288.0,MOVE
1112757062637912,1296.0,291.0,MOVE
1112757070660767,1282.0,293.0,MOVE
1112757078432473,1267.0,296.0,MOVE
1112757085558197,1251.0,299.0,MOVE
1112757093029854,1232.0,303.0,MOVE
1112757101166812,1220.0,307.0,MOVE
1112757109391913,1203.0,311.0,MOVE
1112757117277119,1189.0,314.0,MOVE
1112757126491720,1174.0,317.0,MOVE
1112757133804598,1156.0,322.0,MOVE
1112757141029333,1139.0,326.0,MOVE
1112757149367933,1123.0,332.0,MOVE
1112757157385958,1106.0,336.0,MOVE
1112757164620352,1089.0,340.0,MOVE
1112757172741613,1074.0,346.0,MOVE
1112757180316507,1061.0,349.0,MOVE
1112757188219824,1041.0,353.0,MOVE
1112757196268639,1028.0,355.0,MOVE
1112757206797541,1007.0,360.0,MOVE
1112757213076244,995.0,363.0,MOVE
1112757220367388,978.0,368.0,MOVE
1112757228322626,964.0,371.0,MOVE
1112757236527201,945.0,375.0,MOVE
1112757244664158,928.0,380.0,MOVE
1112757251818861,904.0,386.0,MOVE
1112757259559174,889.0,389.0,MOVE
1112757267271112,875.0,391.0,MOVE
1112757274943204,859.0,392.0,MOVE
1112757284967396,841.0,394.0,MOVE
1112757291806956,824.0,395.0,MOVE
1112757299367360,808.0,396.0,MOVE
1112757307538730,794.0,396.0,MOVE
1112757316127875,778.0,397.0,MOVE
1112757324138655,759.0,398.0,MOVE
