When,X,Y,Typestate,predX,predY
1112756509209469,1114,769,MOVE,1192.91,791.804
1112756516596604,1147,775,MOVE,1219.74,795.905
1112756524140708,1164,777,MOVE,1242.69,797.287
1112756532528210,1191,780,MOVE,1267.91,796.281
1112756540061446,1206,780,MOVE,1285.14,792.879
1112756548180293,1223,779,MOVE,1298.36,785.42
1112756556441617,1249,778,MOVE,1319.4,779.787
1112756564308711,1269,774,MOVE,1340.62,770.954
1112756574203706,1305,769,MOVE,1378.2,758.595
1112756580806004,1313,767,MOVE,1393.88,753.429
1112756588542091,1327,764,MOVE,1401.27,748.939
1112756596322249,1348,758,MOVE,1414.68,741.691
1112756603463670,1370,746,MOVE,1432.42,725.412
1112756611447283,1395,739,MOVE,1458.73,711.689
1112756619517228,1405,732,MOVE,1474.57,701.826
1112756627511103,1418,727,MOVE,1482.63,694.808
1112756635533354,1440,719,MOVE,1500.09,690.115
1112756643280912,1456,708,MOVE,1516.66,677.287
1112756653967989,1485,695,MOVE,1548.87,657.922
1112756659705758,1494,691,MOVE,1562.7,652.72
1112756667366983,1501,687,MOVE,1566.52,651.283
1112756675020360,1515,678,MOVE,1571.19,645.168
1112756681952894,1540,665,MOVE,1589.55,634.099
1112756689934695,1550,656,MOVE,1606,620.152
1112756697969624,1558,651,MOVE,1612.13,612.205
1112756706089074,1579,640,MOVE,1629.07,605.77
1112756713941075,1594,625,MOVE,1646,588.733
1112756722080448,1601,619,MOVE,1653.67,575.688
1112756731004055,1614,607,MOVE,1662.74,565.048
1112756738729275,1627,597,MOVE,1674.53,555.41
1112756745902693,1637,584,MOVE,1683.17,542.468
1112756754355397,1641,578,MOVE,1684.1,532.081
1112756761306042,1647,565,MOVE,1682.22,521.372
1112756769240754,1653,549,MOVE,1682.73,504.23
1112756777616181,1657,540,MOVE,1684.12,491.112
1112756785319063,1661,527,MOVE,1684.72,479.582
1112756793078091,1664,515,MOVE,1684.35,467.212
1112756801634032,1665,501,MOVE,1680.47,452.344
1112756811229581,1665,475,MOVE,1673.73,423.621
1112756818173585,1664,466,MOVE,1668.76,407.848
1112756825261275,1660,448,MOVE,1658.46,393.265
1112756833688623,1657,433,MOVE,1649.03,376.277
1112756840129727,1651,418,MOVE,1639.5,363.441
1112756848563112,1644,404,MOVE,1625.2,349.448
1112756856459185,1639,394,MOVE,1615.52,340.075
1112756864483851,1629,381,MOVE,1602.6,331.258
1112756872664277,1618,369,MOVE,1586.34,321.554
1112756880364140,1607,358,MOVE,1571.09,312.348
1112756890029721,1590,343,MOVE,1548.5,297.625
1112756897206761,1583,336,MOVE,1536.8,289.288
1112756904500924,1571,328,MOVE,1525.79,285.324
1112756911991296,1559,321,MOVE,1512.97,282.767
1112756919135736,1546,315,MOVE,1499.58,281.063
1112756926963588,1532,308,MOVE,1484.44,277.343
1112756934987047,1515,299,MOVE,1466.56,269.087
1112756942924776,1505,296,MOVE,1452.51,266.023
1112756950991703,1494,291,MOVE,1442.33,265.074
1112756958953581,1480,287,MOVE,1430.36,263.546
1112756968964490,1461,283,MOVE,1408.62,262.896
1112756976556288,1452,282,MOVE,1396.23,264.856
1112756983436298,1442,281,MOVE,1388.85,268.688
1112756991036547,1429,279,MOVE,1379.41,269.333
1112756998516656,1417,279,MOVE,1368.59,271.391
1112757006773151,1404,279,MOVE,1355.92,275.088
1112757014127082,1392,279,MOVE,1344.34,276.818
1112757022693889,1376,280,MOVE,1328.1,279.334
1112757030274216,1362,281,MOVE,1312.65,282.209
1112757038246962,1347,283,MOVE,1296.52,286.272
1112757047931257,1323,287,MOVE,1269.37,294.179
1112757055453023,1310,288,MOVE,1250.96,297.269
1112757062637912,1296,291,MOVE,1237.61,300.22
1112757070660767,1282,293,MOVE,1224.6,303.604
1112757078432473,1267,296,MOVE,1211.21,306.695
1112757085558197,1251,299,MOVE,1196.88,310.442
1112757093029854,1232,303,MOVE,1178.28,315.282
1112757101166812,1220,307,MOVE,1162.87,321.986
1112757109391913,1203,311,MOVE,1147.28,327.517
1112757117277119,1189,314,MOVE,1132.36,330.297
1112757126491720,1174,317,MOVE,1116.74,332.383
1112757133804598,1156,322,MOVE,1101.01,337.272
1112757141029333,1139,326,MOVE,1083.63,342.58
1112757149367933,1123,332,MOVE,1065.64,350.606
1112757157385958,1106,336,MOVE,1048.11,356.338
1112757164620352,1089,340,MOVE,1031.01,358.984
1112757172741613,1074,346,MOVE,1015.01,366.134
1112757180316507,1061,349,MOVE,1002.56,370.269
1112757188219824,1041,353,MOVE,984.572,371.3
1112757196268639,1028,355,MOVE,968.605,371.564
1112757206797541,1007,360,MOVE,946.573,375.897
1112757213076244,995,363,MOVE,934.546,379.698
